canonical_team_id,af_team_id,af_team_name,ft_team_id,ft_team_name,us_team_id,us_team_name,sf_team_id,sf_team_name,tm_team_id,tm_team_name,tm_total_market_value_eur,tm_squad_size,tm_average_age
AIA_TRANBJERG,19563,AIA-Tranbjerg,,,,,,,0.0,0,,,
AIGEAS_PLOMARIOU,24851,Aigeas Plomariou,,,,,,,,,,,
AIGLES_DOR_DE_MANA,25369,Aigles d'Or de Mana,,,,,,,,,,,
AIGLON,3008,Aiglon,,,,,,,,,,,
AIK_STOCKHOLM,377,AIK Stockholm,661.0,AIK Fotboll,,,3e998dcf3a8f1cbd,AIK Stockholm,272.0,AIK,20350000,31,24.0
AIN_SUD,9968,Ain Sud,,,,,,,,,,,
AIOLIKOS,5027,Aiolikos,,,,,,,,,,,
AIRDRIE_UNITED,4668,Airdrie United,1161.0,Airdrieonians FC,,,0,0,2802.0,Airdrieonians FC,2760000,30,24.7
AISCHE,5739,Aische,,,,,,,,,,,
AITTITOS_SPATON,2108,Aittitos Spaton,,,,,,,,,,,
AIXOISE,3247,Aixoise,,,,,,,,,,,
AJACCIO,98,Ajaccio,452.0,AC Ajaccio,274.0,Ajaccio,6dca20f22c46f6f,AC Ajaccio,0.0,0,,,
AJAX,194,Ajax,120.0,AFC Ajax,,,438fb6bb68f138c4,Ajax,610.0,Ajax Amsterdam,187150000,27,24.6
AJAX_AMATEURS,1266,Ajax Amateurs,,,,,,,,,,,
AJOIE_MONTERRI,14601,Ajoie-Monterri,,,,,,,,,,,
AJOU_UNIVERSITY,7053,Ajou University,,,,,,,,,,,
AKADEMIJA_PANDEV,4194,Akademija Pandev,,,,,,,,,,,
AKADIMIA_PLATAMONA,24852,Akadimia Platamona,,,,,,,,,,,
AKHISAR_BELEDIYE,995,Akhisar Belediye,200.0,Akhisar Belediye Gençlik ve Spor,,,,,0.0,0,,,
AKRA,7049,Åkra,,,,,,,,,,,
AKROPOLIS,6655,Akropolis,2910.0,Akropolis IF,,,,,0.0,0,,,
AKSEHIRSPOR,6508,Akşehirspor,,,,,,,,,,,
AKTOBE,4563,Aktobe,,,,,,,,,,,
ALANYASPOR,996,Alanyaspor,189.0,Alanyaspor,,,5a43fffdf04da532,Alanyaspor,11282.0,Alanyaspor,30850000,26,27.5
ALASHKERT,582,Alashkert,,,,,,,,,,,
ALAS_PORTUARIAS,23605,Alas Portuarias,,,,,,,,,,,
ALAVES,542,Alaves,277.0,Deportivo Alavés,158.0,Alaves,14944b1bc35bf0c5,CD Alaves,1108.0,Deportivo Alavés,66900000,24,28.0
ALBACETE,722,Albacete,316.0,Albacete Balompié,,,ba0bacb404397750,Albacete,1532.0,Albacete Balompié,13100000,26,27.6
ALBERES_ARGELES,3143,Alberes Argelès,,,,,,,,,,,
ALBERITE,9859,Alberite,,,,,,,,,,,
ALBERT_QUEVY_MONS,5740,Albert Quévy-Mons,,,,,,,,,,,
ALBINOLEFFE,879,Albinoleffe,,,,,,,,,,,
